particle,step,energy,pos_x,pos_y,pos_z,cell,material,macro_total,d_coll,d_surf,event,hit_nuc,micro_el,micro_inel,micro_fis,micro_cap,out_energy,rng_xi
4,18,6.11922534e5,-6.30000000e-1,-4.58294621e-2,4.47265271e-1,3.00000000e0,2.00000000e0,7.00907143e-1,3.30136778e-1,7.35639145e-1,5.00000000e0,8.00000000e0,3.05640809e0,9.99997038e-31,0.00000000e0,3.10839855e0,6.11922534e5,7.93425821e-1
5,0,1.00000000e6,9.38143370e-2,-2.61959427e-1,5.72437189e-1,0.00000000e0,0.00000000e0,1.03426879e0,1.51291825e0,1.81363850e-1,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,2.09137339e-1
5,1,1.00000000e6,-3.49889180e-2,-1.47989737e-1,6.30000000e-1,0.00000000e0,0.00000000e0,1.03426879e0,3.09457719e-2,4.83940786e-1,0.00000000e0,2.00000000e0,8.15215462e0,9.99997038e-31,0.00000000e0,8.15235401e0,7.98995169e5,9.68500533e-1
5,2,7.98995169e5,-5.69663746e-2,-1.28543303e-1,6.20178166e-1,0.00000000e0,0.00000000e0,5.52655397e-1,8.66597858e-1,1.42673009e-2,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,7.98995169e5,6.19445855e-1
5,3,7.98995169e5,-5.46832133e-2,-1.38636600e-1,6.30000000e-1,0.00000000e0,0.00000000e0,5.52655397e-1,4.88034018e-1,3.82943100e-1,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,7.98995169e5,7.63597368e-1
5,4,7.98995169e5,6.59823764e-3,-4.09546858e-1,3.66375948e-1,1.00000000e0,-1.00000000e0,0.00000000e0,0.00000000e0,1.18269598e-2,9.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,7.98995169e5,0.00000000e0
5,5,7.98995169e5,8.49087874e-3,-4.17913760e-1,3.58234077e-1,2.00000000e0,1.00000000e0,5.83444972e-1,2.26815748e0,8.00186611e-2,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,7.98995169e5,2.66243207e-1
5,6,7.98995169e5,2.12960713e-2,-4.74522375e-1,3.03147966e-1,3.00000000e0,2.00000000e0,6.16761878e-1,2.29933769e0,2.19774200e-1,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,7.98995169e5,2.42163095e-1
5,7,7.98995169e5,5.64660000e-2,-6.30000000e-1,1.51851955e-1,3.00000000e0,2.00000000e0,6.16761878e-1,3.24424082e0,2.32274202e-1,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,7.98995169e5,1.35210283e-1
5,8,7.98995169e5,9.36362751e-2,-4.65679334e-1,-8.04926098e-3,2.00000000e0,1.00000000e0,5.83444972e-1,1.22608550e0,8.73116163e-2,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,7.98995169e5,4.89019253e-1
5,9,7.98995169e5,1.07608542e-1,-4.03911372e-1,-6.81559560e-2,1.00000000e0,-1.00000000e0,0.00000000e0,0.00000000e0,1.31129824e-2,9.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,7.98995169e5,0.00000000e0
5,10,7.98995169e5,1.09706982e-1,-3.94634683e-1,-7.71831459e-2,0.00000000e0,0.00000000e0,5.52655397e-1,5.28494791e-1,8.03027659e-1,5.00000000e0,2.00000000e0,2.72287555e0,9.99997038e-31,0.00000000e0,2.72016244e0,7.98995169e5,7.46712158e-1
6,0,1.00000000e6,-6.28859596e-2,3.71841237e-1,5.85106767e-1,0.00000000e0,0.00000000e0,1.03426879e0,7.20279353e-2,3.74814644e-2,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,9.28210959e-1
6,1,1.00000000e6,-8.58662665e-2,4.00498629e-1,5.77655571e-1,1.00000000e0,-1.00000000e0,0.00000000e0,0.00000000e0,9.56368233e-3,9.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,0.00000000e0
6,2,1.00000000e6,-9.17298722e-2,4.07810787e-1,5.75754340e-1,2.00000000e0,1.00000000e0,5.48692979e-1,1.38846912e0,6.38340048e-2,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,4.66805190e-1
6,3,1.00000000e6,-1.30867213e-1,4.56616668e-1,5.63064344e-1,3.00000000e0,2.00000000e0,8.23694015e-1,6.15159401e-1,2.26770915e-1,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,6.02478610e-1
6,4,1.00000000e6,-2.69902972e-1,6.30000000e-1,5.17983020e-1,3.00000000e0,2.00000000e0,8.23694015e-1,5.45236305e-1,5.87327556e-1,0.00000000e0,3.00000000e0,4.24616509e0,0.00000000e0,0.00000000e0,4.24623240e0,2.85976722e5,6.38197246e-1
6,5,2.85976722e5,-6.04193388e-1,2.13126049e-1,4.09591807e-1,3.00000000e0,2.00000000e0,9.89813771e-1,1.82874193e-1,2.59235077e-2,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.85976722e5,8.34425851e-1
6,6,2.85976722e5,-6.30000000e-1,2.15521777e-1,4.10146340e-1,3.00000000e0,2.00000000e0,9.89813771e-1,1.35635454e0,2.18603439e-1,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.85976722e5,2.61181841e-1
6,7,2.85976722e5,-4.12382289e-1,2.35724076e-1,4.14822517e-1,2.00000000e0,1.00000000e0,7.47552560e-1,4.48251794e-1,7.21646924e-2,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.85976722e5,7.15272439e-1
6,8,2.85976722e5,-3.40542995e-1,2.42393197e-1,4.16366202e-1,1.00000000e0,-1.00000000e0,0.00000000e0,0.00000000e0,1.11758191e-2,9.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.85976722e5,0.00000000e0
6,9,2.85976722e5,-3.29417561e-1,2.43426015e-1,4.16605265e-1,0.00000000e0,0.00000000e0,7.44452915e-1,1.55914167e0,6.11151363e-1,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.85976722e5,3.13264448e-1
6,10,2.85976722e5,2.78977979e-1,2.99905741e-1,4.29678489e-1,1.00000000e0,-1.00000000e0,0.00000000e0,0.00000000e0,1.11758191e-2,9.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.85976722e5,0.00000000e0
6,11,2.85976722e5,2.90103413e-1,3.00938558e-1,4.29917552e-1,2.00000000e0,1.00000000e0,7.47552560e-1,8.66749701e-1,7.21646924e-2,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.85976722e5,5.23121798e-1
6,12,2.85976722e5,3.61942707e-1,3.07607679e-1,4.31461237e-1,3.00000000e0,2.00000000e0,9.89813771e-1,1.40776774e0,2.69271505e-1,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.85976722e5,2.48222962e-1
6,13,2.85976722e5,6.30000000e-1,3.32492481e-1,4.37221261e-1,3.00000000e0,2.00000000e0,9.89813771e-1,1.05059132e0,3.24489134e-1,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.85976722e5,3.53493649e-1
6,14,2.85976722e5,3.06974058e-1,3.62480237e-1,4.44162453e-1,2.00000000e0,1.00000000e0,7.47552560e-1,3.32245961e-1,1.19975473e-1,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.85976722e5,7.80070235e-1
6,15,2.85976722e5,1.87539575e-1,3.73567805e-1,4.46728866e-1,1.00000000e0,-1.00000000e0,0.00000000e0,0.00000000e0,2.48743526e-2,9.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.85976722e5,0.00000000e0
6,16,2.85976722e5,1.62777377e-1,3.75866576e-1,4.47260956e-1,0.00000000e0,0.00000000e0,7.44452915e-1,3.03393549e-1,2.54731686e-1,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.85976722e5,7.97828025e-1
6,17,2.85976722e5,-9.08056704e-2,3.99407677e-1,4.52709957e-1,1.00000000e0,-1.00000000e0,0.00000000e0,0.00000000e0,2.48743526e-2,9.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.85976722e5,0.00000000e0
6,18,2.85976722e5,-1.15567868e-1,4.01706449e-1,4.53242048e-1,2.00000000e0,1.00000000e0,7.47552560e-1,5.48250604e-1,1.19975473e-1,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.85976722e5,6.63752366e-1
6,19,2.85976722e5,-2.35002352e-1,4.12794017e-1,4.55808460e-1,3.00000000e0,2.00000000e0,9.89813771e-1,7.74575951e-2,3.96786859e-1,5.00000000e0,8.00000000e0,3.44991458e0,9.99997038e-31,0.00000000e0,3.44006263e0,2.85976722e5,9.26196750e-1
7,0,1.00000000e6,2.05779908e-3,1.73399362e-1,-1.14501431e-1,0.00000000e0,0.00000000e0,1.03426879e0,3.90789517e0,6.53887547e-1,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,1.75655795e-2
7,1,1.00000000e6,-3.99543994e-1,-9.02040066e-2,3.29118002e-1,1.00000000e0,-1.00000000e0,0.00000000e0,0.00000000e0,1.21942691e-2,9.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,0.00000000e0
7,2,1.00000000e6,-4.07033422e-1,-9.51199177e-2,3.37391013e-1,2.00000000e0,1.00000000e0,5.48692979e-1,1.24902937e0,8.19771069e-2,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,5.03922071e-1
7,3,1.00000000e6,-4.57381769e-1,-1.28167563e-1,3.93007062e-1,3.00000000e0,2.00000000e0,8.23694015e-1,4.59818776e-1,2.81056797e-1,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,6.84716788e-1
7,4,1.00000000e6,-6.30000000e-1,-2.41470711e-1,5.83685498e-1,3.00000000e0,2.00000000e0,8.23694015e-1,7.65271147e-1,6.82667945e-2,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,5.32405819e-1
7,5,1.00000000e6,-5.88072199e-1,-2.68991279e-1,6.30000000e-1,3.00000000e0,2.00000000e0,8.23694015e-1,9.59779871e-1,8.95508702e-1,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,4.53588475e-1
7,6,1.00000000e6,-3.80725910e-2,-6.30000000e-1,2.24566110e-2,3.00000000e0,2.00000000e0,8.23694015e-1,1.64483551e0,9.61710033e-1,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,2.57988270e-1
