t_s,n,c1,c2,c3,c4,c5,c6,rho
1.180000e0,4.254759e-1,1.976273e3,4.452457e3,1.027641e3,7.361124e2,4.333820e1,2.565930e0,-6.500000e-3
1.190000e0,4.250167e-1,1.976133e3,4.451688e3,1.027020e3,7.350233e2,4.319874e1,2.560642e0,-6.500000e-3
1.200000e0,4.245592e-1,1.975993e3,4.450919e3,1.026399e3,7.339363e2,4.306049e1,2.555434e0,-6.500000e-3
1.210000e0,4.241034e-1,1.975852e3,4.450149e3,1.025779e3,7.328514e2,4.292343e1,2.550305e0,-6.500000e-3
1.220000e0,4.236493e-1,1.975712e3,4.449378e3,1.025159e3,7.317685e2,4.278754e1,2.545252e0,-6.500000e-3
1.230000e0,4.231969e-1,1.975572e3,4.448608e3,1.024539e3,7.306877e2,4.265282e1,2.540274e0,-6.500000e-3
1.240000e0,4.227462e-1,1.975431e3,4.447837e3,1.023919e3,7.296089e2,4.251925e1,2.535368e0,-6.500000e-3
1.250000e0,4.222970e-1,1.975291e3,4.447065e3,1.023299e3,7.285322e2,4.238682e1,2.530532e0,-6.500000e-3
1.260000e0,4.218495e-1,1.975150e3,4.446293e3,1.022679e3,7.274575e2,4.225553e1,2.525766e0,-6.500000e-3
1.270000e0,4.214037e-1,1.975009e3,4.445521e3,1.022059e3,7.263849e2,4.212535e1,2.521066e0,-6.500000e-3
1.280000e0,4.209594e-1,1.974868e3,4.444748e3,1.021440e3,7.253143e2,4.199628e1,2.516431e0,-6.500000e-3
1.290000e0,4.205167e-1,1.974727e3,4.443975e3,1.020821e3,7.242458e2,4.186831e1,2.511860e0,-6.500000e-3
1.300000e0,4.200756e-1,1.974586e3,4.443202e3,1.020201e3,7.231793e2,4.174142e1,2.507351e0,-6.500000e-3
1.310000e0,4.196360e-1,1.974445e3,4.442428e3,1.019582e3,7.221149e2,4.161561e1,2.502903e0,-6.500000e-3
1.320000e0,4.191980e-1,1.974304e3,4.441654e3,1.018964e3,7.210525e2,4.149086e1,2.498513e0,-6.500000e-3
1.330000e0,4.187615e-1,1.974163e3,4.440880e3,1.018345e3,7.199921e2,4.136716e1,2.494181e0,-6.500000e-3
1.340000e0,4.183265e-1,1.974021e3,4.440105e3,1.017726e3,7.189338e2,4.124450e1,2.489904e0,-6.500000e-3
1.350000e0,4.178931e-1,1.973880e3,4.439329e3,1.017108e3,7.178775e2,4.112288e1,2.485682e0,-6.500000e-3
1.360000e0,4.174611e-1,1.973738e3,4.438554e3,1.016490e3,7.168232e2,4.100227e1,2.481514e0,-6.500000e-3
1.370000e0,4.170306e-1,1.973596e3,4.437778e3,1.015872e3,7.157710e2,4.088268e1,2.477397e0,-6.500000e-3
