t_s,n,c1,c2,c3,c4,c5,c6,rho
1.150000e0,2.784760e0,2.008446e3,4.631373e3,1.180147e3,1.041002e3,1.136198e2,1.117461e1,3.737500e-3
1.160000e0,2.829131e0,2.008890e3,4.633846e3,1.182266e3,1.045288e3,1.146539e2,1.131058e1,3.770000e-3
1.170000e0,2.874844e0,2.009346e3,4.636381e3,1.184438e3,1.049679e3,1.157136e2,1.145000e1,3.802500e-3
1.180000e0,2.921958e0,2.009812e3,4.638979e3,1.186663e3,1.054180e3,1.167997e2,1.159303e1,3.835000e-3
1.190000e0,2.970533e0,2.010291e3,4.641643e3,1.188945e3,1.058794e3,1.179130e2,1.173977e1,3.867500e-3
1.200000e0,3.020632e0,2.010781e3,4.644374e3,1.191285e3,1.063525e3,1.190546e2,1.189038e1,3.900000e-3
1.210000e0,3.072325e0,2.011284e3,4.647175e3,1.193684e3,1.068375e3,1.202253e2,1.204499e1,3.932500e-3
1.220000e0,3.125683e0,2.011800e3,4.650047e3,1.196144e3,1.073350e3,1.214261e2,1.220377e1,3.965000e-3
1.230000e0,3.180782e0,2.012330e3,4.652994e3,1.198668e3,1.078453e3,1.226582e2,1.236686e1,3.997500e-3
1.240000e0,3.237703e0,2.012873e3,4.656017e3,1.201258e3,1.083689e3,1.239227e2,1.253444e1,4.030000e-3
1.250000e0,3.296531e0,2.013430e3,4.659120e3,1.203915e3,1.089062e3,1.252207e2,1.270669e1,4.062500e-3
1.260000e0,3.357357e0,2.014002e3,4.662304e3,1.206642e3,1.094576e3,1.265535e2,1.288379e1,4.095000e-3
1.270000e0,3.420276e0,2.014589e3,4.665573e3,1.209442e3,1.100238e3,1.279224e2,1.306594e1,4.127500e-3
1.280000e0,3.485392e0,2.015192e3,4.668930e3,1.212317e3,1.106051e3,1.293287e2,1.325335e1,4.160000e-3
1.290000e0,3.552813e0,2.015812e3,4.672377e3,1.215270e3,1.112022e3,1.307739e2,1.344623e1,4.192500e-3
1.300000e0,3.622654e0,2.016448e3,4.675919e3,1.218304e3,1.118157e3,1.322595e2,1.364481e1,4.225000e-3
1.310000e0,3.695040e0,2.017101e3,4.679557e3,1.221420e3,1.124461e3,1.337870e2,1.384935e1,4.257500e-3
1.320000e0,3.770100e0,2.017773e3,4.683297e3,1.224624e3,1.130940e3,1.353582e2,1.406010e1,4.290000e-3
1.330000e0,3.847976e0,2.018463e3,4.687141e3,1.227917e3,1.137602e3,1.369749e2,1.427732e1,4.322500e-3
1.340000e0,3.928817e0,2.019174e3,4.691094e3,1.231303e3,1.144454e3,1.386389e2,1.450132e1,4.355000e-3
1.350000e0,4.012783e0,2.019904e3,4.695160e3,1.234787e3,1.151503e3,1.403522e2,1.473239e1,4.387500e-3
1.360000e0,4.100045e0,2.020655e3,4.699343e3,1.238371e3,1.158756e3,1.421168e2,1.497086e1,4.420000e-3
1.370000e0,4.190787e0,2.021428e3,4.703648e3,1.242059e3,1.166223e3,1.439351e2,1.521707e1,4.452500e-3
1.380000e0,4.285205e0,2.022224e3,4.708080e3,1.245857e3,1.173912e3,1.458094e2,1.547140e1,4.485000e-3
1.390000e0,4.383510e0,2.023044e3,4.712644e3,1.249768e3,1.181832e3,1.477421e2,1.573423e1,4.517500e-3
1.400000e0,4.485930e0,2.023888e3,4.717345e3,1.253797e3,1.189994e3,1.497360e2,1.600597e1,4.550000e-3
1.410000e0,4.592707e0,2.024759e3,4.722190e3,1.257950e3,1.198407e3,1.517937e2,1.628707e1,4.582500e-3
1.420000e0,4.704104e0,2.025656e3,4.727184e3,1.262231e3,1.207083e3,1.539183e2,1.657799e1,4.615000e-3
1.430000e0,4.820405e0,2.026580e3,4.732334e3,1.266647e3,1.216034e3,1.561131e2,1.687923e1,4.647500e-3
1.440000e0,4.941914e0,2.027535e3,4.737647e3,1.271202e3,1.225272e3,1.583813e2,1.719134e1,4.680000e-3
1.450000e0,5.068963e0,2.028519e3,4.743131e3,1.275905e3,1.234810e3,1.607266e2,1.751488e1,4.712500e-3
1.460000e0,5.201907e0,2.029536e3,4.748792e3,1.280761e3,1.244663e3,1.631528e2,1.785046e1,4.745000e-3
1.470000e0,5.341134e0,2.030586e3,4.754641e3,1.285778e3,1.254846e3,1.656641e2,1.819875e1,4.777500e-3
1.480000e0,5.487065e0,2.031672e3,4.760685e3,1.290963e3,1.265374e3,1.682648e2,1.856044e1,4.810000e-3
1.490000e0,5.640154e0,2.032794e3,4.766934e3,1.296325e3,1.276266e3,1.709597e2,1.893630e1,4.842500e-3
1.500000e0,5.800900e0,2.033954e3,4.773398e3,1.301873e3,1.287540e3,1.737539e2,1.932713e1,4.875000e-3
1.510000e0,5.969841e0,2.035156e3,4.780088e3,1.307615e3,1.299215e3,1.766527e2,1.973381e1,4.907500e-3
1.520000e0,6.147570e0,2.036399e3,4.787017e3,1.313563e3,1.311312e3,1.796621e2,2.015729e1,4.940000e-3
1.530000e0,6.334730e0,2.037688e3,4.794195e3,1.319728e3,1.323855e3,1.827882e2,2.059858e1,4.972500e-3
1.540000e0,6.532029e0,2.039024e3,4.801638e3,1.326120e3,1.336868e3,1.860378e2,2.105877e1,5.005000e-3
1.550000e0,6.740242e0,2.040410e3,4.809358e3,1.332752e3,1.350377e3,1.894183e2,2.153908e1,5.037500e-3
1.560000e0,6.960221e0,2.041849e3,4.817373e3,1.339639e3,1.364411e3,1.929376e2,2.204077e1,5.070000e-3
1.570000e0,7.192901e0,2.043343e3,4.825699e3,1.346794e3,1.379001e3,1.966041e2,2.256526e1,5.102500e-3
1.580000e0,7.439319e0,2.044897e3,4.834353e3,1.354234e3,1.394179e3,2.004272e2,2.311407e1,5.135000e-3
1.590000e0,7.700615e0,2.046512e3,4.843356e3,1.361975e3,1.409982e3,2.044169e2,2.368886e1,5.167500e-3
1.600000e0,7.978056e0,2.048194e3,4.852729e3,1.370037e3,1.426448e3,2.085841e2,2.429144e1,5.200000e-3
1.610000e0,8.182679e0,2.049939e3,4.862450e3,1.378399e3,1.443534e3,2.129136e2,2.491829e1,5.200000e-3
