case,status,k_calc,k_sigma,k_ref,sigma_exp,delta_pcm,bound_pcm,sigma_ratio,ref_source,runtime_s,n_seeds,batches,inactive,particles,error
heu-met-fast-029,FAIL,1.004533,0.000451,1.000000,0.002000,453.3,410.1,2.211,k_eff_reference (ICSBEP handbook),66.99,5,150,30,20000,
heu-met-fast-032_case-1,FAIL,1.003825,0.000388,1.000000,0.001600,382.5,329.3,2.323,k_eff_reference (ICSBEP handbook),30.63,5,150,30,20000,
heu-met-fast-032_case-2,PASS,1.003084,0.000089,1.000000,0.002700,308.4,540.3,1.142,k_eff_reference (ICSBEP handbook),28.21,5,150,30,20000,
heu-met-fast-032_case-3,PASS,0.999068,0.000319,1.000000,0.001700,-93.2,345.9,0.539,k_eff_reference (ICSBEP handbook),18.13,5,150,30,20000,
heu-met-fast-032_case-4,PASS,0.999648,0.000324,1.000000,0.001700,-35.2,346.1,0.203,k_eff_reference (ICSBEP handbook),13.82,5,150,30,20000,
heu-met-fast-034_case-1,FAIL,0.995164,0.000297,0.999000,0.001200,-383.6,247.3,3.103,k_eff_reference (ICSBEP handbook),50.53,5,150,30,20000,
heu-met-fast-034_case-2,PASS,0.997077,0.000498,0.999000,0.001200,-192.3,259.8,1.480,k_eff_reference (ICSBEP handbook),51.49,5,150,30,20000,
heu-met-fast-034_case-3,FAIL,0.996459,0.000385,0.999000,0.001200,-254.1,252.1,2.016,k_eff_reference (ICSBEP handbook),61.16,5,150,30,20000,
heu-met-fast-041_case-1,FAIL,1.009540,0.000362,1.001300,0.003000,824.0,604.4,2.727,k_eff_reference (ICSBEP handbook),15.87,5,150,30,20000,
heu-met-fast-041_case-2,PASS,1.008353,0.000318,1.002200,0.004300,615.3,862.4,1.427,k_eff_reference (ICSBEP handbook),31.97,5,150,30,20000,
heu-met-fast-041_case-3,PASS,1.000936,0.000168,1.000600,0.002900,33.6,581.0,0.116,k_eff_reference (ICSBEP handbook),13.82,5,150,30,20000,
heu-met-fast-041_case-4,FAIL,1.005846,0.000192,1.000600,0.002500,524.6,501.5,2.092,k_eff_reference (ICSBEP handbook),17.65,5,150,30,20000,
heu-met-fast-041_case-5,PASS,1.002719,0.000436,1.000600,0.003100,212.0,626.1,0.677,k_eff_reference (ICSBEP handbook),22.85,5,150,30,20000,
heu-met-fast-041_case-6,PASS,1.003905,0.000420,1.000600,0.004500,330.5,903.9,0.731,k_eff_reference (ICSBEP handbook),31.39,5,150,30,20000,
heu-met-fast-058_case-1,FAIL,1.005990,0.000285,1.000000,0.002500,599.0,503.2,2.380,k_eff_reference (ICSBEP handbook),74.23,5,150,30,20000,
heu-met-fast-058_case-2,FAIL,1.007777,0.000318,1.000000,0.003500,777.7,702.9,2.213,k_eff_reference (ICSBEP handbook),25.77,5,150,30,20000,
heu-met-fast-058_case-3,FAIL,1.006026,0.000271,1.000000,0.002700,602.6,542.7,2.221,k_eff_reference (ICSBEP handbook),17.94,5,150,30,20000,
heu-met-fast-058_case-4,PASS,1.003777,0.000232,1.000000,0.002100,377.7,422.6,1.788,k_eff_reference (ICSBEP handbook),14.94,5,150,30,20000,
heu-met-fast-058_case-5,PASS,1.003006,0.000279,1.000000,0.003300,300.6,662.4,0.908,k_eff_reference (ICSBEP handbook),13.82,5,150,30,20000,
heu-met-fast-066_case-1,PASS,1.006087,0.000210,1.003000,0.003300,308.7,661.3,0.933,k_eff_reference (ICSBEP handbook),26.08,5,150,30,20000,
heu-met-fast-066_case-2,PASS,1.003946,0.000219,1.002300,0.002900,164.6,581.7,0.566,k_eff_reference (ICSBEP handbook),18.78,5,150,30,20000,
heu-met-fast-066_case-3,PASS,1.007136,0.000207,1.002300,0.002600,483.6,521.6,1.854,k_eff_reference (ICSBEP handbook),16.66,5,150,30,20000,
heu-met-fast-066_case-4,PASS,1.007029,0.000532,1.004300,0.004300,272.9,866.6,0.630,k_eff_reference (ICSBEP handbook),42.33,5,150,30,20000,
heu-met-fast-066_case-5,PASS,1.006288,0.000308,1.003000,0.003300,328.8,662.9,0.992,k_eff_reference (ICSBEP handbook),24.69,5,150,30,20000,
heu-met-fast-066_case-6,PASS,1.005071,0.000492,1.002800,0.003000,227.1,608.0,0.747,k_eff_reference (ICSBEP handbook),20.09,5,150,30,20000,
heu-met-fast-066_case-7,PASS,1.007256,0.000217,1.004800,0.003900,245.6,781.2,0.629,k_eff_reference (ICSBEP handbook),24.92,5,150,30,20000,
heu-met-fast-066_case-8,PASS,1.006545,0.000123,1.003900,0.004000,264.5,800.4,0.661,k_eff_reference (ICSBEP handbook),33.67,5,150,30,20000,
heu-met-fast-066_case-9,PASS,1.003061,0.000331,1.002700,0.003600,36.1,723.0,0.100,k_eff_reference (ICSBEP handbook),21.99,5,150,30,20000,
heu-met-fast-069_case-1,PASS,0.998818,0.000358,0.999800,0.000400,-98.2,150.0,1.830,k_eff_reference (ICSBEP handbook),194.79,5,150,30,20000,
heu-met-fast-069_case-2,PASS,0.998400,0.000365,0.999400,0.000400,-100.0,150.0,1.847,k_eff_reference (ICSBEP handbook),13.61,5,150,30,20000,
heu-met-inter-006_case-1,FAIL,0.992462,0.000456,0.997700,0.000800,-523.8,184.2,5.688,k_eff_reference (ICSBEP handbook),178.55,5,150,35,20000,
heu-met-inter-006_case-2,FAIL,0.996120,0.000315,1.000100,0.000800,-398.0,172.0,4.628,k_eff_reference (ICSBEP handbook),164.75,5,150,35,20000,
heu-met-inter-006_case-3,PASS,1.000221,0.000401,1.001500,0.000900,-127.9,197.0,1.298,k_eff_reference (ICSBEP handbook),171.67,5,150,35,20000,
heu-met-inter-006_case-4,FAIL,1.006251,0.000488,1.001600,0.000800,465.1,187.4,4.964,k_eff_reference (ICSBEP handbook),175.00,5,150,35,20000,
heu-sol-therm-001_case-1,PASS,0.998543,0.000478,1.000400,0.006000,-185.7,1203.8,0.309,k_eff_reference (ICSBEP handbook),74.72,5,150,50,15000,
heu-sol-therm-001_case-10,PASS,0.992688,0.001016,0.999300,0.005400,-661.2,1099.0,1.203,k_eff_reference (ICSBEP handbook),91.28,5,150,50,15000,
heu-sol-therm-001_case-2,PASS,0.995133,0.000363,1.002100,0.007200,-696.7,1441.8,0.966,k_eff_reference (ICSBEP handbook),57.96,5,150,50,15000,
heu-sol-therm-001_case-3,PASS,1.000524,0.000763,1.000300,0.003500,22.4,716.4,0.063,k_eff_reference (ICSBEP handbook),62.81,5,150,50,15000,
heu-sol-therm-001_case-4,PASS,0.997987,0.000538,1.000800,0.005300,-281.3,1065.4,0.528,k_eff_reference (ICSBEP handbook),48.18,5,150,50,15000,
heu-sol-therm-001_case-5,PASS,0.998365,0.000391,1.000100,0.004900,-173.5,983.1,0.353,k_eff_reference (ICSBEP handbook),99.74,5,150,50,15000,
heu-sol-therm-001_case-6,PASS,1.002131,0.000563,1.000200,0.004600,193.1,926.9,0.417,k_eff_reference (ICSBEP handbook),95.27,5,150,50,15000,
heu-sol-therm-001_case-7,PASS,0.997899,0.000518,1.000800,0.004000,-290.1,806.7,0.719,k_eff_reference (ICSBEP handbook),63.56,5,150,50,15000,
heu-sol-therm-001_case-8,PASS,0.997544,0.000672,0.999800,0.003800,-225.6,771.8,0.585,k_eff_reference (ICSBEP handbook),62.21,5,150,50,15000,
heu-sol-therm-001_case-9,PASS,0.994404,0.000442,1.000800,0.005400,-639.6,1083.6,1.181,k_eff_reference (ICSBEP handbook),47.50,5,150,50,15000,
heu-sol-therm-004_case-1,FAIL,0.984993,0.000565,1.000000,0.003250,-1500.7,659.7,4.549,k_eff_reference (ICSBEP handbook),257.36,5,150,50,15000,
heu-sol-therm-004_case-2,FAIL,0.981449,0.000191,1.000000,0.003550,-1855.1,711.0,5.218,k_eff_reference (ICSBEP handbook),229.88,5,150,50,15000,
heu-sol-therm-004_case-3,FAIL,0.988863,0.000535,1.000000,0.003900,-1113.7,787.3,2.829,k_eff_reference (ICSBEP handbook),219.80,5,150,50,15000,
heu-sol-therm-004_case-4,PASS,0.991128,0.000774,1.000000,0.004550,-887.2,923.1,1.922,k_eff_reference (ICSBEP handbook),220.91,5,150,50,15000,
heu-sol-therm-004_case-5,PASS,0.990459,0.000224,1.000000,0.005200,-954.1,1041.0,1.833,k_eff_reference (ICSBEP handbook),229.93,5,150,50,15000,
heu-sol-therm-004_case-6,FAIL,0.987157,0.000334,1.000000,0.005850,-1284.3,1171.9,2.192,k_eff_reference (ICSBEP handbook),238.57,5,150,50,15000,
heu-sol-therm-009_case-1,PASS,1.002229,0.000248,0.999000,0.004300,322.9,861.4,0.750,k_eff_reference (ICSBEP handbook),143.91,5,150,50,15000,
heu-sol-therm-009_case-2,PASS,1.002430,0.000586,1.000000,0.003900,243.0,788.7,0.616,k_eff_reference (ICSBEP handbook),146.29,5,150,50,15000,
heu-sol-therm-009_case-3,PASS,1.001294,0.000400,1.000000,0.003600,129.4,724.4,0.357,k_eff_reference (ICSBEP handbook),151.61,5,150,50,15000,
heu-sol-therm-009_case-4,PASS,0.996676,0.000462,0.998600,0.003500,-192.4,706.1,0.545,k_eff_reference (ICSBEP handbook),157.89,5,150,50,15000,
heu-sol-therm-010_case-1,PASS,1.001969,0.000746,1.000000,0.002900,196.9,598.9,0.657,k_eff_reference (ICSBEP handbook),169.06,5,150,50,15000,
heu-sol-therm-010_case-2,PASS,1.001023,0.000277,1.000000,0.002900,102.3,582.6,0.351,k_eff_reference (ICSBEP handbook),168.13,5,150,50,15000,
heu-sol-therm-010_case-3,PASS,0.998006,0.000527,1.000000,0.002900,-199.4,589.5,0.677,k_eff_reference (ICSBEP handbook),166.64,5,150,50,15000,
heu-sol-therm-010_case-4,PASS,0.996656,0.000532,0.999200,0.002900,-254.4,589.7,0.863,k_eff_reference (ICSBEP handbook),168.10,5,150,50,15000,
heu-sol-therm-011_case-1,FAIL,1.005162,0.000147,1.000000,0.002300,516.2,460.9,2.240,k_eff_reference (ICSBEP handbook),186.14,5,150,50,15000,
heu-sol-therm-011_case-2,PASS,1.000095,0.000602,1.000000,0.002300,9.5,475.5,0.040,k_eff_reference (ICSBEP handbook),190.17,5,150,50,15000,
heu-sol-therm-012,PASS,1.000553,0.000557,0.999900,0.005800,65.3,1165.3,0.112,k_eff_reference (ICSBEP handbook),229.70,5,150,50,15000,
heu-sol-therm-013_case-1,PASS,0.998327,0.000437,1.001200,0.002600,-287.3,527.3,1.090,k_eff_reference (ICSBEP handbook),215.24,5,150,50,15000,
heu-sol-therm-013_case-2,PASS,0.998412,0.000287,1.000700,0.003600,-228.8,722.3,0.634,k_eff_reference (ICSBEP handbook),219.79,5,150,50,15000,
heu-sol-therm-013_case-3,PASS,0.994477,0.000643,1.000900,0.003600,-642.3,731.4,1.756,k_eff_reference (ICSBEP handbook),200.94,5,150,50,15000,
heu-sol-therm-013_case-4,PASS,0.995690,0.000569,1.000300,0.003600,-461.0,728.9,1.265,k_eff_reference (ICSBEP handbook),193.84,5,150,50,15000,
heu-sol-therm-020_case-1,PASS,0.991310,0.000454,0.996600,0.011600,-529.0,2321.8,0.456,k_eff_reference (ICSBEP handbook),77.47,5,150,50,15000,
heu-sol-therm-020_case-2,PASS,0.997122,0.000516,0.995600,0.009300,152.2,1862.9,0.163,k_eff_reference (ICSBEP handbook),85.54,5,150,50,15000,
heu-sol-therm-020_case-3,PASS,1.007205,0.000420,0.995700,0.007900,1150.5,1582.2,1.454,k_eff_reference (ICSBEP handbook),98.40,5,150,50,15000,
heu-sol-therm-020_case-4,PASS,1.006595,0.000926,0.995500,0.007800,1109.5,1570.9,1.413,k_eff_reference (ICSBEP handbook),97.37,5,150,50,15000,
heu-sol-therm-020_case-5,FAIL,1.017688,0.000641,0.995900,0.007700,2178.8,1545.3,2.820,k_eff_reference (ICSBEP handbook),125.29,5,150,50,15000,
