t_s,n,c1,c2,c3,c4,c5,c6,rho
7.700000e-1,2.522239e0,2.015799e3,4.672244e3,1.214909e3,1.109961e3,1.283989e2,1.247795e1,3.250000e-3
7.800000e-1,2.528821e0,2.016172e3,4.674315e3,1.216645e3,1.113296e3,1.290328e2,1.252842e1,3.250000e-3
7.900000e-1,2.535402e0,2.016548e3,4.676395e3,1.218388e3,1.116639e3,1.296649e2,1.257849e1,3.250000e-3
8.000000e-1,2.541984e0,2.016925e3,4.678483e3,1.220137e3,1.119989e3,1.302953e2,1.262817e1,3.250000e-3
8.100000e-1,2.548566e0,2.017303e3,4.680579e3,1.221892e3,1.123346e3,1.309241e2,1.267747e1,3.250000e-3
8.200000e-1,2.555148e0,2.017683e3,4.682685e3,1.223653e3,1.126711e3,1.315511e2,1.272640e1,3.250000e-3
8.300000e-1,2.561731e0,2.018065e3,4.684798e3,1.225420e3,1.130083e3,1.321765e2,1.277498e1,3.250000e-3
8.400000e-1,2.568314e0,2.018448e3,4.686920e3,1.227194e3,1.133462e3,1.328002e2,1.282322e1,3.250000e-3
8.500000e-1,2.574898e0,2.018833e3,4.689051e3,1.228973e3,1.136848e3,1.334223e2,1.287112e1,3.250000e-3
8.600000e-1,2.581483e0,2.019220e3,4.691190e3,1.230758e3,1.140242e3,1.340428e2,1.291869e1,3.250000e-3
8.700000e-1,2.588070e0,2.019608e3,4.693337e3,1.232550e3,1.143643e3,1.346617e2,1.296596e1,3.250000e-3
8.800000e-1,2.594657e0,2.019997e3,4.695493e3,1.234347e3,1.147051e3,1.352791e2,1.301291e1,3.250000e-3
8.900000e-1,2.601246e0,2.020389e3,4.697658e3,1.236151e3,1.150466e3,1.358949e2,1.305958e1,3.250000e-3
9.000000e-1,2.607836e0,2.020781e3,4.699831e3,1.237961e3,1.153888e3,1.365091e2,1.310595e1,3.250000e-3
9.100000e-1,2.614428e0,2.021176e3,4.702012e3,1.239776e3,1.157317e3,1.371219e2,1.315205e1,3.250000e-3
9.200000e-1,2.621021e0,2.021572e3,4.704202e3,1.241598e3,1.160754e3,1.377332e2,1.319788e1,3.250000e-3
9.300000e-1,2.627617e0,2.021969e3,4.706400e3,1.243426e3,1.164198e3,1.383430e2,1.324345e1,3.250000e-3
9.400000e-1,2.634214e0,2.022368e3,4.708607e3,1.245259e3,1.167648e3,1.389513e2,1.328876e1,3.250000e-3
9.500000e-1,2.640814e0,2.022769e3,4.710822e3,1.247099e3,1.171106e3,1.395582e2,1.333383e1,3.250000e-3
9.600000e-1,2.647415e0,2.023171e3,4.713045e3,1.248945e3,1.174571e3,1.401637e2,1.337866e1,3.250000e-3
9.700000e-1,2.654019e0,2.023575e3,4.715278e3,1.250797e3,1.178042e3,1.407678e2,1.342326e1,3.250000e-3
9.800000e-1,2.660626e0,2.023980e3,4.717518e3,1.252655e3,1.181521e3,1.413705e2,1.346764e1,3.250000e-3
9.900000e-1,2.667235e0,2.024387e3,4.719767e3,1.254519e3,1.185007e3,1.419718e2,1.351180e1,3.250000e-3
1.000000e0,2.673847e0,2.024796e3,4.722025e3,1.256388e3,1.188500e3,1.425718e2,1.355576e1,3.250000e-3
1.010000e0,2.680461e0,2.025206e3,4.724291e3,1.258264e3,1.192000e3,1.431705e2,1.359951e1,3.250000e-3
1.020000e0,2.687079e0,2.025618e3,4.726565e3,1.260146e3,1.195506e3,1.437678e2,1.364307e1,3.250000e-3
1.030000e0,2.693699e0,2.026031e3,4.728848e3,1.262034e3,1.199020e3,1.443639e2,1.368643e1,3.250000e-3
1.040000e0,2.700323e0,2.026446e3,4.731139e3,1.263928e3,1.202541e3,1.449587e2,1.372962e1,3.250000e-3
1.050000e0,2.706949e0,2.026863e3,4.733439e3,1.265828e3,1.206068e3,1.455522e2,1.377262e1,3.250000e-3
1.060000e0,2.713580e0,2.027281e3,4.735747e3,1.267733e3,1.209603e3,1.461444e2,1.381545e1,3.250000e-3
1.070000e0,2.720213e0,2.027700e3,4.738064e3,1.269645e3,1.213144e3,1.467355e2,1.385812e1,3.250000e-3
1.080000e0,2.726850e0,2.028122e3,4.740389e3,1.271563e3,1.216692e3,1.473253e2,1.390063e1,3.250000e-3
1.090000e0,2.733491e0,2.028544e3,4.742723e3,1.273487e3,1.220247e3,1.479139e2,1.394298e1,3.250000e-3
1.100000e0,2.740135e0,2.028969e3,4.745065e3,1.275416e3,1.223809e3,1.485014e2,1.398518e1,3.250000e-3
1.110000e0,2.746783e0,2.029395e3,4.747416e3,1.277352e3,1.227378e3,1.490877e2,1.402724e1,3.250000e-3
1.120000e0,2.753435e0,2.029822e3,4.749775e3,1.279294e3,1.230953e3,1.496729e2,1.406916e1,3.250000e-3
1.130000e0,2.760091e0,2.030252e3,4.752143e3,1.281242e3,1.234536e3,1.502569e2,1.411094e1,3.250000e-3
1.140000e0,2.766751e0,2.030682e3,4.754519e3,1.283195e3,1.238125e3,1.508398e2,1.415259e1,3.250000e-3
1.150000e0,2.773415e0,2.031115e3,4.756904e3,1.285155e3,1.241721e3,1.514216e2,1.419412e1,3.250000e-3
1.160000e0,2.780084e0,2.031549e3,4.759297e3,1.287120e3,1.245324e3,1.520024e2,1.423552e1,3.250000e-3
1.170000e0,2.786757e0,2.031984e3,4.761699e3,1.289092e3,1.248934e3,1.525820e2,1.427681e1,3.250000e-3
1.180000e0,2.793434e0,2.032422e3,4.764109e3,1.291069e3,1.252550e3,1.531607e2,1.431798e1,3.250000e-3
1.190000e0,2.800116e0,2.032860e3,4.766528e3,1.293053e3,1.256174e3,1.537382e2,1.435905e1,3.250000e-3
1.200000e0,2.806802e0,2.033301e3,4.768955e3,1.295042e3,1.259804e3,1.543148e2,1.440001e1,3.250000e-3
1.210000e0,2.813493e0,2.033743e3,4.771391e3,1.297038e3,1.263440e3,1.548904e2,1.444087e1,3.250000e-3
1.220000e0,2.820189e0,2.034186e3,4.773835e3,1.299039e3,1.267084e3,1.554650e2,1.448163e1,3.250000e-3
1.230000e0,2.826890e0,2.034631e3,4.776288e3,1.301046e3,1.270734e3,1.560386e2,1.452230e1,3.250000e-3
1.240000e0,2.833595e0,2.035078e3,4.778749e3,1.303060e3,1.274391e3,1.566112e2,1.456288e1,3.250000e-3
1.250000e0,2.840306e0,2.035526e3,4.781219e3,1.305079e3,1.278055e3,1.571830e2,1.460337e1,3.250000e-3
1.260000e0,2.847021e0,2.035976e3,4.783697e3,1.307104e3,1.281725e3,1.577537e2,1.464378e1,3.250000e-3
1.270000e0,2.853742e0,2.036428e3,4.786184e3,1.309135e3,1.285402e3,1.583236e2,1.468411e1,3.250000e-3
1.280000e0,2.860468e0,2.036881e3,4.788680e3,1.311172e3,1.289086e3,1.588926e2,1.472436e1,3.250000e-3
1.290000e0,2.867200e0,2.037336e3,4.791184e3,1.313215e3,1.292777e3,1.594607e2,1.476454e1,3.250000e-3
1.300000e0,2.873936e0,2.037792e3,4.793696e3,1.315265e3,1.296474e3,1.600279e2,1.480465e1,3.250000e-3
1.310000e0,2.880679e0,2.038250e3,4.796218e3,1.317319e3,1.300178e3,1.605943e2,1.484469e1,3.250000e-3
1.320000e0,2.887426e0,2.038710e3,4.798747e3,1.319380e3,1.303889e3,1.611598e2,1.488467e1,3.250000e-3
1.330000e0,2.894180e0,2.039171e3,4.801286e3,1.321447e3,1.307606e3,1.617245e2,1.492459e1,3.250000e-3
1.340000e0,2.900939e0,2.039634e3,4.803833e3,1.323520e3,1.311330e3,1.622884e2,1.496444e1,3.250000e-3
1.350000e0,2.907703e0,2.040098e3,4.806388e3,1.325599e3,1.315061e3,1.628515e2,1.500425e1,3.250000e-3
1.360000e0,2.914474e0,2.040564e3,4.808952e3,1.327684e3,1.318798e3,1.634138e2,1.504399e1,3.250000e-3
1.370000e0,2.921250e0,2.041032e3,4.811525e3,1.329775e3,1.322542e3,1.639754e2,1.508369e1,3.250000e-3
1.380000e0,2.928033e0,2.041501e3,4.814106e3,1.331871e3,1.326293e3,1.645362e2,1.512334e1,3.250000e-3
1.390000e0,2.934821e0,2.041972e3,4.816696e3,1.333974e3,1.330050e3,1.650962e2,1.516294e1,3.250000e-3
1.400000e0,2.941615e0,2.042445e3,4.819294e3,1.336083e3,1.333814e3,1.656555e2,1.520250e1,3.250000e-3
1.410000e0,2.948416e0,2.042919e3,4.821901e3,1.338197e3,1.337584e3,1.662141e2,1.524202e1,3.250000e-3
1.420000e0,2.955223e0,2.043394e3,4.824517e3,1.340318e3,1.341362e3,1.667720e2,1.528150e1,3.250000e-3
1.430000e0,2.962036e0,2.043872e3,4.827141e3,1.342444e3,1.345146e3,1.673292e2,1.532094e1,3.250000e-3
1.440000e0,2.968855e0,2.044351e3,4.829774e3,1.344577e3,1.348936e3,1.678857e2,1.536034e1,3.250000e-3
1.450000e0,2.975681e0,2.044831e3,4.832416e3,1.346715e3,1.352733e3,1.684416e2,1.539972e1,3.250000e-3
1.460000e0,2.982513e0,2.045314e3,4.835066e3,1.348859e3,1.356537e3,1.689968e2,1.543906e1,3.250000e-3
1.470000e0,2.989352e0,2.045798e3,4.837725e3,1.351010e3,1.360347e3,1.695514e2,1.547838e1,3.250000e-3
1.480000e0,2.996197e0,2.046283e3,4.840393e3,1.353166e3,1.364164e3,1.701053e2,1.551767e1,3.250000e-3
1.490000e0,3.003049e0,2.046770e3,4.843069e3,1.355329e3,1.367988e3,1.706586e2,1.555693e1,3.250000e-3
1.500000e0,3.009908e0,2.047259e3,4.845754e3,1.357497e3,1.371818e3,1.712114e2,1.559617e1,3.250000e-3
1.510000e0,3.016774e0,2.047749e3,4.848448e3,1.359671e3,1.375655e3,1.717635e2,1.563539e1,3.250000e-3
1.520000e0,3.023646e0,2.048241e3,4.851150e3,1.361851e3,1.379498e3,1.723151e2,1.567459e1,3.250000e-3
1.530000e0,3.030525e0,2.048735e3,4.853861e3,1.364038e3,1.383349e3,1.728661e2,1.571377e1,3.250000e-3
1.540000e0,3.037411e0,2.049230e3,4.856581e3,1.366230e3,1.387205e3,1.734165e2,1.575294e1,3.250000e-3
1.550000e0,3.044304e0,2.049727e3,4.859309e3,1.368428e3,1.391068e3,1.739664e2,1.579209e1,3.250000e-3
1.560000e0,3.051205e0,2.050226e3,4.862046e3,1.370632e3,1.394938e3,1.745158e2,1.583123e1,3.250000e-3
1.570000e0,3.058112e0,2.050726e3,4.864792e3,1.372842e3,1.398815e3,1.750647e2,1.587036e1,3.250000e-3
1.580000e0,3.065026e0,2.051228e3,4.867547e3,1.375058e3,1.402698e3,1.756130e2,1.590948e1,3.250000e-3
1.590000e0,3.071948e0,2.051732e3,4.870310e3,1.377281e3,1.406588e3,1.761609e2,1.594859e1,3.250000e-3
1.600000e0,3.078877e0,2.052237e3,4.873082e3,1.379509e3,1.410484e3,1.767083e2,1.598769e1,3.250000e-3
1.610000e0,3.085813e0,2.052744e3,4.875863e3,1.381743e3,1.414387e3,1.772552e2,1.602679e1,3.250000e-3
1.620000e0,3.092757e0,2.053252e3,4.878652e3,1.383983e3,1.418296e3,1.778017e2,1.606588e1,3.250000e-3
1.630000e0,3.099708e0,2.053762e3,4.881451e3,1.386229e3,1.422213e3,1.783477e2,1.610497e1,3.250000e-3
1.640000e0,3.106667e0,2.054274e3,4.884258e3,1.388481e3,1.426135e3,1.788933e2,1.614407e1,3.250000e-3
1.650000e0,3.113633e0,2.054787e3,4.887073e3,1.390739e3,1.430065e3,1.794384e2,1.618316e1,3.250000e-3
1.660000e0,3.120607e0,2.055303e3,4.889898e3,1.393004e3,1.434001e3,1.799832e2,1.622225e1,3.250000e-3
1.670000e0,3.127588e0,2.055819e3,4.892732e3,1.395274e3,1.437943e3,1.805275e2,1.626134e1,3.250000e-3
1.680000e0,3.134577e0,2.056338e3,4.895574e3,1.397550e3,1.441892e3,1.810715e2,1.630044e1,3.250000e-3
